time_s,temperature_C,energy_kJ
0.0,25.1,0.2
1.0,25.200000000000003,0.4
2.0,25.300000000000004,0.6
3.0,25.400000000000006,0.8
4.0,25.500000000000007,1.0
5.0,25.60000000000001,1.2
6.0,25.70000000000001,1.4
7.0,25.80000000000001,1.6
8.0,25.900000000000013,1.8
9.0,26.000000000000014,2.0
10.0,26.100000000000016,2.2
11.0,26.200000000000017,2.4
12.0,26.30000000000002,2.6
13.0,26.40000000000002,2.8
14.0,26.50000000000002,3.0
15.0,26.600000000000023,3.2
16.0,26.700000000000024,3.4
17.0,26.800000000000026,3.6
18.0,26.900000000000027,3.8
19.0,27.00000000000003,4.0
20.0,27.10000000000003,4.2
21.0,27.20000000000003,4.4
22.0,27.300000000000033,4.6
23.0,27.400000000000034,4.8
24.0,27.500000000000036,5.0
25.0,27.600000000000037,5.2
26.0,27.70000000000004,5.4
27.0,27.80000000000004,5.6
28.0,27.90000000000004,5.8
29.0,28.000000000000043,6.0
30.0,28.100000000000044,6.2
31.0,28.200000000000045,6.4
32.0,28.300000000000047,6.6
33.0,28.40000000000005,6.8
34.0,28.50000000000005,7.0
35.0,28.60000000000005,7.2
36.0,28.700000000000053,7.4
37.0,28.800000000000054,7.6
38.0,28.900000000000055,7.8
39.0,29.000000000000057,8.0
40.0,29.10000000000006,8.2
41.0,29.20000000000006,8.4
42.0,29.30000000000006,8.6
43.0,29.400000000000063,8.8
44.0,29.500000000000064,9.0
45.0,29.600000000000065,9.2
46.0,29.700000000000067,9.4
47.0,29.800000000000068,9.6
48.0,29.90000000000007,9.8
49.0,30.00000000000007,10.0
50.0,30.100000000000072,10.2
51.0,30.200000000000074,10.4
52.0,30.300000000000075,10.6
53.0,30.400000000000077,10.8
54.0,30.500000000000078,11.0
55.0,30.60000000000008,11.2
56.0,30.70000000000008,11.4
57.0,30.800000000000082,11.6
58.0,30.900000000000084,11.8
59.0,31.000000000000085,12.0
60.0,31.100000000000087,12.2
61.0,31.200000000000088,12.4
62.0,31.30000000000009,12.6
63.0,31.40000000000009,12.8
64.0,31.500000000000092,13.0
65.0,31.600000000000094,13.2
66.0,31.700000000000095,13.4
67.0,31.800000000000097,13.6
68.0,31.900000000000098,13.8
69.0,32.0000000000001,14.0
70.0,32.1000000000001,14.2
71.0,32.2000000000001,14.4
72.0,32.300000000000104,14.6
73.0,32.400000000000105,14.8
74.0,32.50000000000011,15.0
75.0,32.60000000000011,15.2
76.0,32.70000000000011,15.4
77.0,32.80000000000011,15.6
78.0,32.90000000000011,15.8
79.0,33.000000000000114,16.0
80.0,33.100000000000115,16.2
81.0,33.20000000000012,16.4
82.0,33.30000000000012,16.6
83.0,33.40000000000012,16.8
84.0,33.50000000000012,17.0
85.0,33.60000000000012,17.2
86.0,33.700000000000124,17.4
87.0,33.800000000000125,17.6
88.0,33.90000000000013,17.8
89.0,34.00000000000013,18.0
90.0,34.10000000000013,18.2
91.0,34.20000000000013,18.4
92.0,34.30000000000013,18.6
93.0,34.400000000000134,18.8
94.0,34.500000000000135,19.0
95.0,34.600000000000136,19.2
96.0,34.70000000000014,19.4
97.0,34.80000000000014,19.6
98.0,34.90000000000014,19.8
99.0,35.00000000000014,20.0
100.0,35.10000000000014,20.2
101.0,35.200000000000145,20.4
102.0,35.300000000000146,20.6
103.0,35.40000000000015,20.8
104.0,35.50000000000015,21.0
105.0,35.60000000000015,21.2
106.0,35.70000000000015,21.4
107.0,35.80000000000015,21.6
108.0,35.900000000000155,21.8
109.0,36.000000000000156,22.0
110.0,36.10000000000016,22.2
111.0,36.20000000000016,22.4
112.0,36.30000000000016,22.6
113.0,36.40000000000016,22.8
114.0,36.50000000000016,23.0
115.0,36.600000000000165,23.2
116.0,36.700000000000166,23.4
117.0,36.80000000000017,23.6
118.0,36.90000000000017,23.8
119.0,37.00000000000017,24.0
120.0,37.10000000000017,24.2
121.0,37.20000000000017,24.4
122.0,37.300000000000175,24.6
123.0,37.400000000000176,24.8
124.0,37.50000000000018,25.0
125.0,37.60000000000018,25.2
126.0,37.70000000000018,25.4
127.0,37.80000000000018,25.6
128.0,37.90000000000018,25.8
129.0,38.000000000000185,26.0
130.0,38.100000000000186,26.2
131.0,38.20000000000019,26.4
132.0,38.30000000000019,26.6
133.0,38.40000000000019,26.8
134.0,38.50000000000019,27.0
135.0,38.60000000000019,27.2
136.0,38.700000000000195,27.4
137.0,38.800000000000196,27.6
138.0,38.9000000000002,27.8
139.0,39.0000000000002,28.0
140.0,39.1000000000002,28.2
141.0,39.2000000000002,28.4
142.0,39.3000000000002,28.6
143.0,39.400000000000205,28.8
144.0,39.500000000000206,29.0
145.0,39.60000000000021,29.2
146.0,39.70000000000021,29.4
147.0,39.80000000000021,29.6
148.0,39.90000000000021,29.8
149.0,40.00000000000021,30.0
150.0,40.100000000000215,30.2
151.0,40.200000000000216,30.4
152.0,40.30000000000022,30.6
153.0,40.40000000000022,30.8
154.0,40.50000000000022,31.0
155.0,40.60000000000022,31.2
156.0,40.70000000000022,31.4
157.0,40.800000000000225,31.6
158.0,40.900000000000226,31.8
159.0,41.00000000000023,32.0
160.0,41.10000000000023,32.2
161.0,41.20000000000023,32.4
162.0,41.30000000000023,32.6
163.0,41.40000000000023,32.8
164.0,41.500000000000234,33.0
165.0,41.600000000000236,33.2
166.0,41.70000000000024,33.4
167.0,41.80000000000024,33.6
168.0,41.90000000000024,33.8
169.0,42.00000000000024,34.0
170.0,42.10000000000024,34.2
171.0,42.200000000000244,34.4
172.0,42.300000000000246,34.6
173.0,42.40000000000025,34.8
174.0,42.50000000000025,35.0
175.0,42.60000000000025,35.2
176.0,42.70000000000025,35.4
177.0,42.80000000000025,35.6
178.0,42.900000000000254,35.8
179.0,43.000000000000256,36.0
180.0,43.10000000000026,36.2
181.0,43.20000000000026,36.4
182.0,43.30000000000026,36.6
183.0,43.40000000000026,36.8
184.0,43.50000000000026,37.0
185.0,43.600000000000264,37.2
186.0,43.700000000000266,37.4
187.0,43.80000000000027,37.6
188.0,43.90000000000027,37.8
189.0,44.00000000000027,38.0
190.0,44.10000000000027,38.2
191.0,44.20000000000027,38.4
192.0,44.300000000000274,38.6
193.0,44.400000000000276,38.8
194.0,44.50000000000028,39.0
195.0,44.60000000000028,39.2
196.0,44.70000000000028,39.4
197.0,44.80000000000028,39.6
198.0,44.90000000000028,39.8
199.0,45.000000000000284,40.0
200.0,45.100000000000286,40.2
201.0,45.20000000000029,40.4
202.0,45.30000000000029,40.6
203.0,45.40000000000029,40.8
204.0,45.50000000000029,41.0
205.0,45.60000000000029,41.2
206.0,45.700000000000294,41.4
207.0,45.800000000000296,41.6
208.0,45.9000000000003,41.8
209.0,46.0000000000003,42.0
210.0,46.1000000000003,42.2
211.0,46.2000000000003,42.4
212.0,46.3000000000003,42.6
213.0,46.400000000000304,42.8
214.0,46.500000000000306,43.0
215.0,46.60000000000031,43.2
216.0,46.70000000000031,43.4
217.0,46.80000000000031,43.6
218.0,46.90000000000031,43.8
219.0,47.00000000000031,44.0
220.0,47.100000000000314,44.2
221.0,47.200000000000315,44.4
222.0,47.30000000000032,44.6
223.0,47.40000000000032,44.8
224.0,47.50000000000032,45.0
225.0,47.60000000000032,45.2
226.0,47.70000000000032,45.4
227.0,47.800000000000324,45.6
228.0,47.900000000000325,45.8
229.0,48.00000000000033,46.0
230.0,48.10000000000033,46.2
231.0,48.20000000000033,46.4
232.0,48.30000000000033,46.6
233.0,48.40000000000033,46.8
234.0,48.500000000000334,47.0
235.0,48.600000000000335,47.2
236.0,48.70000000000034,47.4
237.0,48.80000000000034,47.6
238.0,48.90000000000034,47.8
239.0,49.00000000000034,48.0
240.0,49.10000000000034,48.2
241.0,49.200000000000344,48.4
242.0,49.300000000000345,48.6
243.0,49.40000000000035,48.8
244.0,49.50000000000035,49.0
245.0,49.60000000000035,49.2
246.0,49.70000000000035,49.4
247.0,49.80000000000035,49.6
248.0,49.900000000000354,49.8
249.0,50.000000000000355,50.0
250.0,50.10000000000036,50.2
251.0,50.20000000000036,50.4
252.0,50.30000000000036,50.6
253.0,50.40000000000036,50.8
254.0,50.50000000000036,51.0
255.0,50.600000000000364,51.2
256.0,50.700000000000365,51.4
257.0,50.80000000000037,51.6
258.0,50.90000000000037,51.8
259.0,51.00000000000037,52.0
260.0,51.10000000000037,52.2
261.0,51.20000000000037,52.4
262.0,51.300000000000374,52.6
263.0,51.400000000000375,52.8
264.0,51.50000000000038,53.0
265.0,51.60000000000038,53.2
266.0,51.70000000000038,53.4
267.0,51.80000000000038,53.6
268.0,51.90000000000038,53.8
269.0,52.000000000000384,54.0
270.0,52.100000000000385,54.2
