time_s,temperature_C,energy_kJ
0.0,25.133333333333333,0.2
1.0,25.266666666666666,0.4
2.0,25.4,0.6
3.0,25.53333333333333,0.8
4.0,25.666666666666664,1.0
5.0,25.799999999999997,1.2
6.0,25.93333333333333,1.4
7.0,26.066666666666663,1.6
8.0,26.199999999999996,1.8
9.0,26.33333333333333,2.0
10.0,26.46666666666666,2.2
11.0,26.599999999999994,2.4
12.0,26.733333333333327,2.6
13.0,26.86666666666666,2.8
14.0,26.999999999999993,3.0
15.0,27.133333333333326,3.2
16.0,27.26666666666666,3.4
17.0,27.39999999999999,3.6
18.0,27.533333333333324,3.8
19.0,27.666666666666657,4.0
20.0,27.79999999999999,4.2
21.0,27.933333333333323,4.4
22.0,28.066666666666656,4.6
23.0,28.19999999999999,4.8
24.0,28.33333333333332,5.0
25.0,28.466666666666654,5.2
26.0,28.599999999999987,5.4
27.0,28.73333333333332,5.6
28.0,28.866666666666653,5.8
29.0,28.999999999999986,6.0
30.0,29.13333333333332,6.2
31.0,29.26666666666665,6.4
32.0,29.399999999999984,6.6
33.0,29.533333333333317,6.8
34.0,29.66666666666665,7.0
35.0,29.799999999999983,7.2
36.0,29.933333333333316,7.4
37.0,30.06666666666665,7.6
38.0,30.19999999999998,7.8
39.0,30.333333333333314,8.0
40.0,30.466666666666647,8.2
41.0,30.59999999999998,8.4
42.0,30.733333333333313,8.6
43.0,30.866666666666646,8.8
44.0,30.99999999999998,9.0
45.0,31.13333333333331,9.2
46.0,31.266666666666644,9.4
47.0,31.399999999999977,9.6
48.0,31.53333333333331,9.8
49.0,31.666666666666643,10.0
50.0,31.799999999999976,10.2
51.0,31.93333333333331,10.4
52.0,32.06666666666664,10.6
53.0,32.0,10.8
54.0,32.0,11.0
55.0,32.0,11.2
56.0,32.0,11.4
57.0,32.0,11.6
58.0,32.0,11.8
59.0,32.0,12.0
60.0,32.0,12.2
61.0,32.0,12.4
62.0,32.0,12.6
63.0,32.0,12.8
64.0,32.0,13.0
65.0,32.0,13.2
66.0,32.0,13.4
67.0,32.0,13.6
68.0,32.0,13.8
69.0,32.0,14.0
70.0,32.0,14.2
71.0,32.0,14.4
72.0,32.0,14.6
73.0,32.0,14.8
74.0,32.0,15.0
75.0,32.0,15.2
76.0,32.0,15.4
77.0,32.0,15.6
78.0,32.0,15.8
79.0,32.0,16.0
80.0,32.0,16.2
81.0,32.0,16.4
82.0,32.0,16.6
83.0,32.0,16.8
84.0,32.0,17.0
85.0,32.0,17.2
86.0,32.0,17.4
87.0,32.0,17.6
88.0,32.0,17.8
89.0,32.0,18.0
90.0,32.0,18.2
91.0,32.0,18.4
92.0,32.0,18.6
93.0,32.0,18.8
94.0,32.0,19.0
95.0,32.0,19.2
96.0,32.0,19.4
97.0,32.0,19.6
98.0,32.0,19.8
99.0,32.0,20.0
100.0,32.0,20.2
101.0,32.0,20.4
102.0,32.0,20.6
103.0,32.0,20.8
104.0,32.0,21.0
105.0,32.0,21.2
106.0,32.0,21.4
107.0,32.0,21.6
108.0,32.0,21.8
109.0,32.0,22.0
110.0,32.0,22.2
111.0,32.0,22.4
112.0,32.0,22.6
113.0,32.0,22.8
114.0,32.0,23.0
115.0,32.0,23.2
116.0,32.0,23.4
117.0,32.0,23.6
118.0,32.0,23.8
119.0,32.0,24.0
120.0,32.0,24.2
121.0,32.0,24.4
122.0,32.0,24.6
123.0,32.0,24.8
124.0,32.0,25.0
125.0,32.0,25.2
126.0,32.0,25.4
127.0,32.0,25.6
128.0,32.0,25.8
129.0,32.0,26.0
130.0,32.0,26.2
131.0,32.0,26.4
132.0,32.0,26.6
133.0,32.0,26.8
134.0,32.0,27.0
135.0,32.0,27.2
136.0,32.0,27.4
137.0,32.0,27.6
138.0,32.0,27.8
139.0,32.0,28.0
140.0,32.0,28.2
141.0,32.0,28.4
142.0,32.0,28.6
143.0,32.0,28.8
144.0,32.0,29.0
145.0,32.0,29.2
146.0,32.0,29.4
147.0,32.0,29.6
148.0,32.0,29.8
149.0,32.0,30.0
150.0,32.0,30.2
151.0,32.0,30.4
152.0,32.0,30.6
153.0,32.0,30.8
154.0,32.0,31.0
155.0,32.0,31.2
156.0,32.0,31.4
157.0,32.0,31.6
158.0,32.0,31.8
159.0,32.0,32.0
160.0,32.0,32.2
161.0,32.0,32.4
162.0,32.0,32.6
163.0,32.0,32.8
164.0,32.0,33.0
165.0,32.0,33.2
166.0,32.0,33.4
167.0,32.0,33.6
168.0,32.0,33.8
169.0,32.0,34.0
170.0,32.0,34.2
171.0,32.0,34.4
172.0,32.0,34.6
173.0,32.0,34.8
174.0,32.0,35.0
175.0,32.0,35.2
176.0,32.0,35.4
177.0,32.0,35.6
178.0,32.0,35.8
179.0,32.0,36.0
180.0,32.0,36.2
181.0,32.0,36.4
182.0,32.0,36.6
183.0,32.0,36.8
184.0,32.0,37.0
185.0,32.0,37.2
186.0,32.0,37.4
187.0,32.0,37.6
188.0,32.0,37.8
189.0,32.0,38.0
190.0,32.0,38.2
191.0,32.0,38.4
192.0,32.0,38.6
193.0,32.0,38.8
194.0,32.0,39.0
195.0,32.0,39.2
196.0,32.0,39.4
197.0,32.0,39.6
198.0,32.0,39.8
199.0,32.0,40.0
200.0,32.0,40.2
201.0,32.0,40.4
202.0,32.0,40.6
203.0,32.0,40.8
204.0,32.0,41.0
205.0,32.0,41.2
206.0,32.0,41.4
207.0,32.0,41.6
208.0,32.0,41.8
209.0,32.0,42.0
210.0,32.0,42.2
211.0,32.0,42.4
212.0,32.0,42.6
213.0,32.0,42.8
214.0,32.0,43.0
215.0,32.0,43.2
216.0,32.0,43.4
217.0,32.0,43.6
218.0,32.0,43.8
219.0,32.0,44.0
220.0,32.0,44.2
221.0,32.0,44.4
222.0,32.0,44.6
223.0,32.0,44.8
224.0,32.0,45.0
225.0,32.0,45.2
226.0,32.0,45.4
227.0,32.0,45.6
228.0,32.0,45.8
229.0,32.0,46.0
230.0,32.0,46.2
231.0,32.0,46.4
232.0,32.0,46.6
233.0,32.0,46.8
234.0,32.0,47.0
235.0,32.0,47.2
236.0,32.0,47.4
237.0,32.0,47.6
238.0,32.0,47.8
239.0,32.0,48.0
240.0,32.0,48.2
241.0,32.0,48.4
242.0,32.0,48.6
243.0,32.0,48.8
244.0,32.0,49.0
245.0,32.0,49.2
246.0,32.0,49.4
247.0,32.0,49.6
248.0,32.0,49.8
249.0,32.0,50.0
250.0,32.0,50.2
251.0,32.0,50.4
252.0,32.0,50.6
253.0,32.0,50.8
254.0,32.0,51.0
255.0,32.0,51.2
256.0,32.0,51.4
257.0,32.0,51.6
258.0,32.0,51.8
259.0,32.0,52.0
260.0,32.0,52.2
261.0,32.0,52.4
262.0,32.0,52.6
263.0,32.0,52.8
264.0,32.0,53.0
265.0,32.0,53.2
266.0,32.0,53.4
267.0,32.0,53.6
268.0,32.0,53.8
269.0,32.0,54.0
270.0,32.0,54.2
271.0,32.0,54.4
272.0,32.0,54.6
273.0,32.0,54.8
274.0,32.0,55.0
275.0,32.0,55.2
276.0,32.0,55.4
277.0,32.0,55.6
278.0,32.0,55.8
279.0,32.0,56.0
280.0,32.0,56.2
281.0,32.0,56.4
282.0,32.0,56.6
283.0,32.0,56.8
284.0,32.0,57.0
285.0,32.0,57.2
286.0,32.0,57.4
287.0,32.0,57.6
288.0,32.0,57.8
289.0,32.0,58.0
290.0,32.0,58.2
291.0,32.0,58.4
292.0,32.0,58.6
293.0,32.0,58.8
294.0,32.0,59.0
295.0,32.0,59.2
296.0,32.0,59.4
297.0,32.0,59.6
298.0,32.0,59.8
299.0,32.0,60.0
300.0,32.0,60.2
301.0,32.0,60.4
302.0,32.0,60.6
303.0,32.0,60.8
304.0,32.0,61.0
305.0,32.0,61.2
306.0,32.0,61.4
307.0,32.0,61.6
308.0,32.0,61.8
309.0,32.0,62.0
310.0,32.0,62.2
311.0,32.0,62.4
312.0,32.0,62.6
313.0,32.0,62.8
314.0,32.0,63.0
315.0,32.0,63.2
316.0,32.0,63.4
317.0,32.0,63.6
318.0,32.0,63.8
319.0,32.0,64.0
320.0,32.0,64.2
321.0,32.0,64.4
322.0,32.0,64.6
323.0,32.0,64.8
324.0,32.0,65.0
